"ID","SiteSeries","SiteSeriesLongName","SiteSeriesScientificName","Level"
-2060678973,"ESSFxc   /04","Pinegrass – Meadowrue","Calamagrostis rubescens – Thalictrum occidentale",11
-2060638356,"ICH mw 3 /04","CwFd – Soopolallie – Twinflower","Thuja plicata – Pseudotsuga menziesii – Shepherdia canadensis",11
-2055365413,"CWH ms 2 /10","Pl – Sphagnum","Pinus contorta – Sphagnum spp.",11
-2054433384,"CWH wm   /08","Hw – Sphagnum","Tsuga heterophylla – Sphagnum spp.",11
-2051954031,"IDF xm   /02b","Fd – Bluebunch wheatgrass – Penstemon; Shallow","Pseudotsuga menziesii – Pseudoroegneria spicata – Penstemon procerus",11
-2051336289,"SBS dk   /07b","Sxw – Horsetail; Poorly drained","Picea engelmannii x glauca – Equisetum arvense",11
-2050979098,"IDF dk 2 /Wf06","Slender sedge – Buckbean","Carex lasiocarpa – Menyanthes trifoliata",11
-2048815605,"ESSFmk   /02","BlPa – Cladonia","Abies lasiocarpa – Pinus albicaulis – Cladonia spp.",11
-2048032649,"ICH dh   /110","CwHw – Oak fern","Thuja plicata – Tsuga heterophylla – Gymnocarpium dryopteris",11
-2047610763,"ICH mc 1 /01b","Hw – Step moss; Submesic","Tsuga heterophylla – Hylocomium splendens",11
-2045884521,"IDF xm   /Gg21b","Spreading needlegrass – Rocky Mountain fescue; Forest Edge phase","Achnatherum richardsonii – Festuca saximontana",11
-2044798736,"BWBSmw   /102$6B.1","$At – Soopolallie – Kinnikinnick","Populus tremuloides – Shepherdia canadensis – Arctostaphylos uva-ursi",11
-2044735476,"ESSFmw   /07","BlBa – Oak fern – Lady fern","Abies lasiocarpa – Abies amabilis – Gymnocarpium dryopteris",11
-2044455527,"ESSFxc   /Wf14","Tea-leaved willow – Water sedge – Glow moss","Salix planifolia – Carex aquatilis – Aulacomnium palustre",11
-2044152471,"ESSFwm 2 /Vh01.2","Cow-parsnip – Fireweed – Bluejoint","Heracleum maximum – Chamerion angustifolium – Calamagrostis canadensis",11
-2043522035,"MS  xk 3 /Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Eriophorum angustifolium – Caltha leptosepala",11
-2042807392,"ICH dw 1 /104","FdCw – Douglas maple – Prince's pine","Pseudotsuga menziesii – Thuja plicata – Acer glabrum – Chimaphila umbellata",11
-2042686391,"SBS dk   /07a$Atha","$At – Hardhack","Populus tremuloides – Spiraea douglasii ssp. douglasii",11
-2040791993,"ICH mw 4 /Vs01.2","Sitka alder – Spiny wood fern","Alnus viridis ssp. sinuata – Dryopteris expansa",11
-2040004433,"ESSFwh 3 /Vs03","Sitka alder – Hellebore","Alnus viridis ssp. sinuata – Veratrum viride",11
-2037719137,"ESSFwh 1 /Vh02.1","Valerian – Hellebore – Fireweed","Valeriana sitchensis – Veratrum viride – Chamerion angustifolium",11
-2037241705,"CWH vh 1 /03","CwYc – Salal","Thuja plicata – Chamaecyparis nootkatensis – Gaultheria shallon",11
-2037078004,"MS  xk   /Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Eriophorum angustifolium – Caltha leptosepala",11
-2036622263,"ESSFwh 1 /Vh01.2","Cow-parsnip – Fireweed – Bluejoint","Heracleum maximum – Chamerion angustifolium – Calamagrostis canadensis",11
-2036398402,"ESSFwc 3 /Wf02","Scrub birch – Water sedge","Betula nana – Carex aquatilis",11
-2033115068,"ESSFmh   /Rt01","Rocktripe – Green map","Umbilicaria sp. – Rhizocarpon geographicum",11
-2031831808,"ESSFdk 1 /Ro07","Juniper – Soopolallie – Shrubby cinquefoil","Juniperus communis – Shepherdia canadensis – Dasiphora fruticosa",11
-2027054725,"IDF dm 2 /Fm01","Cottonwood – Snowberry – Rose","Populus trichocarpa – Symphoricarpos albus – Rosa acicularis",11
-2026882014,"IDF dk 1 /Wf05","Slender sedge – Common hook moss","Carex lasiocarpa – Drepanocladus aduncus",11
-2026670594,"MS  mw 2 /Wf01","Water sedge – Beaked sedge","Carex aquatilis – Carex utriculata",11
-2025738067,"ICH mc 2 /Fl02","Mountain alder – Red-osier dogwood – Horsetail","Alnus incana – Cornus sericea – Athyrium filix-femina",11
-2024623443,"ESSFwm 1 /Vs10.2","Barclay's willow – Cow-parsnip – Fireweed","Salix barclayi – Heracleum maximum – Chamerion angustifolium",11
-2024368362,"ICH mc 2 /Wm01","Beaked sedge – Water sedge","Carex utriculata – Carex aquatilis",11
-2023947525,"SBPSdc   /Wm01","Beaked sedge – Water sedge","Carex utriculata – Carex aquatilis",11
-2023104439,"BWBSmk   /Fl05","Drummond's willow – Bluejoint","Salix drummondiana – Calamagrostis canadensis",11
-2022755381,"MS  xk 2 /Wf01","Water sedge – Beaked sedge","Carex aquatilis – Carex utriculata",11
-2022370901,"ESSFwh 3 /Vs10.2","Barclay's willow – Cow-parsnip – Fireweed","Salix barclayi – Heracleum maximum – Chamerion angustifolium",11
-2021631179,"ESSFwcp  /Wa01.1","Alpine sedge – Marsh-marigold – Glowmoss","Carex nigricans – Caltha leptosepala –  Aulacomnium palustre",11
-2021572754,"IDF dk 5 /Ws03","Bebb's willow – Bluejoint","Salix bebbiana – Calamagrostis canadensis",11
-2020991022,"ESSFwh 2 /Vh02.1","Valerian – Hellebore – Fireweed","Valeriana sitchensis – Veratrum viride – Chamerion angustifolium",11
-2020143217,"ICH mc 2 /01a$Atss","$At – Saskatoon – Snowberry","Populus tremuloides – Amelanchier alnifolia – Symphoricarpos albus",11
-2018811518,"ESSFxc 2 /Ws07","Sxw – Common horsetail – Leafy moss","Picea engelmannii x glauca – Equisetum arvense – Carex disperma – Rhizomnium sp.",11
-2018029360,"BG  xw 2 /115","At – Prairie rose – Western snowberry","Populus tremuloides – Rosa woodsii – Symphoricarpos occidentalis",11
-2017130686,"IDF dk 5 /Wm06","Great bulrush","Schoenoplectus acutus",11
