"User","InTime","OutTime","LocalMachine"
"puket",4/17/2018 15:42:20,4/17/2018 15:42:41,"I7C"
"puket",4/17/2018 15:43:05,4/17/2018 15:43:10,"I7C"
"puket",4/17/2018 15:43:16,4/17/2018 15:43:18,"I7C"
"puket",4/18/2018 5:24:56,4/18/2018 5:25:51,"I7C"
"puket",4/19/2018 11:17:34,4/19/2018 11:32:42,"I7C"
"puket",4/19/2018 11:32:42,4/19/2018 11:33:20,"I7C"
"puket",4/23/2018 6:54:39,4/23/2018 7:36:11,"I7C"
"puket",4/23/2018 8:29:08,4/23/2018 11:43:09,"I7C"
"puket",4/23/2018 11:45:42,4/23/2018 12:01:13,"I7C"
"puket",4/23/2018 14:02:53,4/23/2018 21:35:00,"I7C"
"puket",4/24/2018 6:51:07,4/24/2018 7:23:05,"I7C"
"puket",4/24/2018 8:00:54,4/24/2018 14:03:31,"I7C"
"puket",4/25/2018 8:33:44,4/25/2018 8:37:45,"I7C"
"puket",4/25/2018 9:57:51,4/25/2018 15:59:16,"I7C"
"puket",4/26/2018 6:02:24,4/26/2018 21:24:38,"I7C"
"puket",4/27/2018 5:41:36,4/27/2018 5:49:55,"I7C"
"puket",4/27/2018 5:50:00,4/27/2018 5:50:33,"I7C"
"puket",4/27/2018 5:50:38,4/27/2018 5:52:05,"I7C"
"puket",4/27/2018 5:52:12,4/27/2018 5:54:04,"I7C"
"puket",4/27/2018 5:54:08,4/27/2018 8:36:06,"I7C"
"puket",4/27/2018 9:12:46,4/27/2018 22:04:18,"I7C"
"puket",4/30/2018 8:01:52,4/30/2018 8:10:46,"I7C"
"puket",4/30/2018 13:17:48,4/30/2018 21:57:48,"I7C"
"puket",5/1/2018 6:29:18,5/1/2018 6:49:11,"I7C"
"puket",5/3/2018 7:39:01,5/3/2018 18:45:01,"I7C"
"puket",5/4/2018 6:31:54,5/4/2018 6:32:04,"I7C"
"puket",5/4/2018 6:32:06,5/4/2018 6:32:52,"I7C"
"puket",5/7/2018 8:16:52,5/7/2018 13:39:18,"I7C"
"puket",5/7/2018 13:39:25,5/7/2018 13:40:19,"I7C"
"puket",5/7/2018 13:40:23,5/7/2018 13:41:42,"I7C"
"puket",5/7/2018 13:41:46,5/7/2018 13:47:02,"I7C"
"puket",5/7/2018 13:47:08,5/7/2018 13:55:35,"I7C"
"puket",5/7/2018 13:55:42,5/7/2018 13:56:25,"I7C"
"puket",5/7/2018 13:56:34,5/7/2018 14:00:52,"I7C"
"puket",5/7/2018 14:00:57,5/7/2018 14:02:20,"I7C"
"puket",5/7/2018 14:02:25,5/7/2018 14:03:45,"I7C"
"puket",5/7/2018 14:03:49,5/7/2018 14:06:27,"I7C"
"puket",5/7/2018 14:06:31,5/7/2018 14:08:09,"I7C"
"puket",5/7/2018 14:08:26,5/7/2018 14:13:01,"I7C"
"puket",5/7/2018 14:13:07,5/7/2018 14:17:59,"I7C"
"puket",5/7/2018 14:18:02,5/7/2018 14:19:36,"I7C"
"puket",5/7/2018 14:19:37,5/7/2018 14:56:07,"I7C"
"puket",5/7/2018 14:56:12,5/7/2018 15:06:44,"I7C"
"puket",5/7/2018 15:06:44,5/7/2018 15:06:46,"I7C"
"puket",5/7/2018 15:06:58,5/7/2018 15:07:09,"I7C"
"puket",5/7/2018 15:07:14,5/7/2018 15:08:44,"I7C"
"puket",5/7/2018 15:08:49,5/7/2018 15:09:22,"I7C"
"puket",5/7/2018 15:09:40,5/7/2018 15:09:46,"I7C"
"puket",5/7/2018 15:09:50,5/7/2018 15:09:53,"I7C"
"puket",5/7/2018 15:09:54,5/7/2018 17:33:15,"I7C"
"puket",5/8/2018 6:07:55,5/8/2018 6:08:32,"I7C"
"puket",5/8/2018 6:22:46,5/8/2018 6:24:49,"I7C"
"puket",5/8/2018 9:29:35,5/8/2018 13:12:04,"I7C"
"puket",5/8/2018 13:29:15,5/8/2018 13:32:23,"I7C"
"puket",5/8/2018 13:32:26,5/8/2018 15:31:13,"I7C"
"puket",5/13/2018 12:33:04,5/13/2018 12:33:14,"I7C"
"puket",5/13/2018 12:33:16,5/13/2018 12:34:19,"I7C"
"puket",5/13/2018 12:47:08,5/13/2018 12:47:13,"I7C"
"puket",5/13/2018 12:53:17,5/13/2018 12:53:31,"I7C"
"puket",5/22/2018 8:23:42,5/22/2018 16:41:23,"I7C"
"puket",5/25/2018 6:53:43,5/25/2018 6:53:47,"I7C"
"puket",5/28/2018 6:24:40,5/28/2018 6:45:55,"I7C"
"puket",5/28/2018 6:46:01,5/28/2018 6:46:32,"I7C"
"puket",5/28/2018 7:23:16,5/28/2018 7:24:37,"I7C"
"puket",5/28/2018 7:42:54,5/28/2018 7:48:12,"I7C"
"puket",9/18/2018 7:49:33,9/18/2018 21:52:36,"I7C"
