"SpeciesNumber","Code","ScientificName","CodePlusStrata","CodePlusLayer","Temp"
232,,"Plagiomnium drummondii D","PLAGDRUD",,
233,,"Plagiomnium ellipticum D","PLAGELLD",,
234,,"Plagiomnium insigne D","PLAGINSD",,
235,,"Plagiothecium spp. D","PLAGIOTD",,
236,,"Plagiomnium medium D","PLAGMEDD",,
237,,"Plagiomnium rostratum D","PLAGROSD",,
238,,"Platanthera spp. C","PLATANTC",,
239,,"Platanthera dilatata C","PLATDILC",,
240,,"Platydictya jungermannioides D","PLATJUND",,
241,,"Platanthera obtusata C","PLATOBTC",,
242,,"Pleurozium schreberi D","PLEUSCHD",,
243,,"Poa glauca C","POA_GLAC",,
244,,"Poa palustris C","POA_PALC",,
245,,"Pogonatum spp. D","POGONATD",,
246,,"Pohlia nutans D","POHLNUTD",,
247,,"Polemonium acutiflorum C","POLEACUC",,
248,,"Polytrichastrum alpinum var. alpinum D","POLYALID",,
249,,"Polytrichum commune D","POLYCOMD",,
250,,"Polytrichum strictum D","POLYSTRD",,
251,,"Populus balsamifera A","POPUBALA",,
252,,"Populus balsamifera B","POPUBALB",,
253,,"Populus tremuloides A","POPUTREA",,
254,,"Populus tremuloides B","POPUTREB",,
255,,"Populus trichocarpa A","POPUTRIA",,
256,,"Populus trichocarpa B","POPUTRIB",,
257,,"Ptilium crista-castrensis D","PTILCRID",,
258,,"Pyrola asarifolia C","PYROASAC",,
259,,"Pyrola chlorantha C","PYROCHLC",,
260,,"Pyrola grandiflora C","PYROGRAC",,
261,,"Pyrola minor C","PYROMINC",,
262,,"Racomitrium lanuginosum D","RACOLAND",,
263,,"Ranunculus acris C","RANUACRC",,
264,,"Ranunculus spp. C","RANUNCUC",,
265,,"Rhizomnium glabrescens D","RHIZGLBD",,
266,,"Rhizomnium pseudopunctatum D","RHIZPSED",,
267,,"Rhizomnium punctatum D","RHIZPUND",,
268,,"Rhododendron groenlandicum B","RHODGROB",,
269,,"Rhytidiadelphus loreus D","RHYTLORD",,
270,,"Rhytidiopsis robusta D","RHYTROBD",,
271,,"Rhytidiadelphus triquetrus D","RHYTTRID",,
272,,"Ribes bracteosum B","RIBEBRAB",,
273,,"Ribes glandulosum B","RIBEGLAB",,
274,,"Ribes hudsonianum B","RIBEHUDB",,
275,,"Ribes lacustre B","RIBELACB",,
276,,"Ribes laxiflorum B","RIBELAXB",,
277,,"Ribes oxyacanthoides B","RIBEOXYB",,
278,,"Ribes spp. B","RIBESB",,
279,,"Ribes triste B","RIBETRIB",,
280,,"Rosa acicularis B","ROSAACIB",,
281,,"Rubus arcticus C","RUBUARCC",,
282,,"Rubus chamaemorus C","RUBUCHAC",,
283,,"Rubus idaeus B","RUBUIDAB",,
284,,"Rubus parviflorus B","RUBUPARB",,
285,,"Rubus parviflorus C","RUBUPARC",,
286,,"Rubus pedatus C","RUBUPEDC",,
287,,"Rubus pubescens C","RUBUPUBC",,
288,,"Sabulina rubella C","SABURUBC",,
289,,"Salix arbusculoides B","SALIARBB",,
290,,"Salix arctica C","SaliarcC",,
291,,"Salix barclayi B","SALIBACB",,
292,,"Salix bebbiana B","SALIBEBB",,
293,,"Salix discolor B","SALIDISB",,
294,,"Salix glauca B","SALIGLAB",,
295,,"Salix myrtillifolia B","SALIMYRB",,
296,,"Salix petiolaris B","SALIPETB",,
297,,"Salix prolixa B","SALIPROB",,
298,,"Salix pseudomonticola B","SALIPSEB",,
299,,"Salix pyrifolia B","SALIPYRB",,
300,,"Salix scouleriana A","SALISCOA",,
301,,"Salix scouleriana B","SALISCOB",,
302,,"Salix spp. B","SALIXB",,
303,,"Sanguisorba stipulata C","SANGSTIC",,
304,,"Sanionia uncinata D","SANIUNCD",,
305,,"Saxifraga oppositifolia C","SaxioppC",,
306,,"Saxifraga tricuspidata C","SaxitriC",,
307,,"Scapania spp. D","SCAPANID",,
308,,"Scapania bolanderi D","SCAPBOLD",,
309,,"Scutellaria galericulata C","SCUTGALC",,
310,,"Senecio lugens C","SENELUGC",,
311,,"Senecio sheldonensis C","SENESHEC",,
312,,"Senecio triangularis C","SENETRIC",,
313,,"Shepherdia canadensis B","SHEPCANB",,
314,,"Sorbus scopulina B","SORBSCOB",,
315,,"Sorbus spp. A","SORBUSA",,
316,,"Sorbus spp. B","SORBUSB",,
317,,"Sphagnum capillifolium D","SPHACAID",,
318,,"Sphagnum girgensohnii D","SPHAGIRD",,
319,,"Sphagnum spp. D","SPHAGNUD",,
320,,"Spiraea douglasii B","SPIRDOUB",,
321,,"Stellaria calycantha C","STELCALC",,
322,,"Stellaria longifolia C","StellonC",,
323,,"Stereocaulon spp. D","STEREOCD",,
324,,"Streptopus amplexifolius C","STREAMPC",,
