"YearOfChange","ChangeDescription","APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName_Old","EnglishName","common_name_pb","Notes_on_names","ShortenedGuideName","Native","Codetype","Province","ID","TaxonLevel","IsAttribute","Report","SplCode_calc","Codelength","CombinedEnglishName"
"2022","Replaced by new upper taxa codes",,"NOTUSED","LECIDLL","LECIDELL","LECIDELL",,"Lecidella spp.",15,"Körber",,,,,,"N","S","BC",22982,"gen",0,1,"LECIDELL",9,
,,,"NOTUSED","LECIDEI","LECIDEU","LECIDEU",,"Lecidea demissa",15,"(Rutstr.) Ach.",,,,,,,"S","BC",22933,"spp",0,0,"LECIDEM",7,
,,,"NOTUSED","LECIDEU","LECIDEU","LECIDEU",,"Lecidoma demissum",15,"(Rutstr.) Gotth. Schneider & Hertel",,,,,,"N","U","BC",22986,"spp",0,1,"LECIDEM",8,
"2019pb","Addition, 2018 review",,,"LECIDID","LECIDID","LECIDID",,"Lecidea diducens ",15,"Nyl.",,,,,,"N","U","BC",1137769,"spp",0,1,"LECIDID",7,
"2022","Replaced by new upper taxa codes",,"NOTUSED","LECIDOM","LECIDOMA","LECIDOMA",,"Lecidoma spp.",15,"Gotth.Schneid. & Hertel",,,,,,"N","S","BC",22987,"gen",0,1,"LECIDOMA",8,
"2022","New coding for upper taxa",,"NOTUSED","LECIDOMA","LECIDOMA","LECIDOMA",,"Lecidoma spp.",15,"Gotth.Schneid. & Hertel",,,,,,"N","U","BC",22987,"gen",0,1,"LECIDOMA",8,
"2019pb","Addition, 2018 review",,,"LECIEFF","LECIEFF","LECIEFF",,"Lecidella effugiens ",15,"(Nilson) Knoph & Hertel",,,,,,"N","U","BC",1137811,"spp",0,1,"LECIEFF",9,
,,,"NOTUSED","LECIELO","LECIELO","LECIELO",,"Lecidella elaeochroma",15,"(Ach.) Hazsl.",,,,,,"N","U","BC",22978,"spp",0,1,"LECIELA",9,
"2019pb","Addition, 2018 review",,,"LECIENA","LECIENA","LECIENA",,"Lecidea enalla ",15,"Nyl.",,,,,,"N","U","BC",1137770,"spp",0,1,"LECIENA",7,
"2019pb","Addition, 2018 review",,,"LECIENC","LECIENC","LECIENC",,"Lecidea enclitica ",15,"Nyl.",,,,,,"N","U","BC",1137771,"spp",0,1,"LECIENC",7,
"2019pb","Addition, 2018 review",,,"LECIENM","LECIENM","LECIENM",,"Lecidea endomelaena ",15,"Leight.",,,,,,"N","U","BC",1137772,"spp",0,1,"LECIEND",7,
"2019pb","Addition, 2018 review",,,"LECIERY","LECIERY","LECIERY",,"Lecidea erythrophaea ",15,"Flörke ex Sommerf.",,,,,,"N","U","BC",1137773,"spp",0,1,"LECIERY",7,
,,,"NOTUSED","LECIEUP","LECIEUP","LECIEUP",,"Lecidella euphorea",15,"(Flörke) Hertel",,,,,,"N","U","BC",22979,"spp",0,1,"LECIEUP",9,
,,,"NOTUSED","LECIGLM","LECIEUP","LECIEUP",,"Lecidea glomerulosa",15,"(DC.) Steudel",,,,,,,"S","BC",22943,"spp",0,0,"LECIGLO",7,
"2019pb","Addition, 2018 review",,,"LECIEXS","LECIEXS","LECIEXS",,"Lecidea exsequens ",15,"Nyl.",,,,,,"N","U","BC",1137774,"spp",0,1,"LECIEXS",7,
,,,"NOTUSED","LECIFIN","LECIFIN","LECIFIN",,"Leciophysma finmarkicum",11,"Th. Fr.","boreal onyx","boreal onyx lichen",,,,"N","U","BC",22988,"spp",0,1,"LECIFIN",11,
"2019pb","Addition, 2018 review",,,"LECIFLA","LECIFLA","LECIFLA",,"Lecidella flavosorediata",15,"(Vězda) Hertel & Leuckert",,,,,,"N","U","BC",1137812,"spp",0,1,"LECIFLA",9,
"2019pb","Addition, 2018 review",,,"LECIFUL","LECIFUL","LECIFUL",,"Lecidea fuliginosa ",15,"Taylor",,,,,,"N","U","BC",1137775,"spp",0,1,"LECIFUL",7,
"2019pb","Addition, 2018 review",,,"LECIFUR","LECIFUR","LECIFUR",,"Lecidea furvonigrans ",15,"(Tuck.) Zahlbr.",,,,,,"N","U","BC",1137776,"spp",0,1,"LECIFUR",7,
"2019pb","Addition, 2018 review",,,"LECIFUS","LECIFUS","LECIFUS",,"Lecidea fuscoatra",15,"(L.) Ach.",,,,,,"N","U","BC",1137777,"spp",0,1,"LECIFUS",7,
,,,"NOTUSED","LECIFUU","LECIFUU","LECIFUU",,"Leciophysma furfurascens",11,"(Nyl.) Gyelnik","crushed onyx","crushed onyx lichen",,,,"N","U","BC",22989,"spp",0,1,"LECIFUR",11,
"2019pb","Addition, 2018 review, not in Esslinger",,,"LECIGLB","LECIGLB","LECIGLB",,"Lecidea globulispora ",15,"Nyl.",,,,,,"N","U","BC",1137778,"spp",0,1,"LECIGLO",7,
"2019pb","Addition, 2018 review",,,"LECIGRI","LECIGRI","LECIGRI",,"Lecidea grisella ",15,"Flörke",,,,,,"N","U","BC",1137779,"spp",0,1,"LECIGRI",7,
"2019pb","Addition, 2018 review",,,"LECIHOL","LECIHOL","LECIHOL",,"Lecidea holopolia ",15,"(Tuck.) Zahlbr.",,,,,,"N","U","BC",1137780,"spp",0,1,"LECIHOL",7,
"2019pb","Addition, 2018 review",,,"LECIHOM","LECIHOM","LECIHOM",,"Lecidea homosema ",15,"Nyl.",,,,,,"N","U","BC",1137781,"spp",0,1,"LECIHOM",7,
"2019pb","Addition, 2018 review",,,"LECILAP","LECILAP","LECILAP",,"Lecidea lapicida ",15,"(Ach.) Ach.",,,,,,"N","U","BC",1137783,"spp",0,1,"LECILAP",7,
"2019pb","Addition, 2018 review",,,"LECILAU","LECILAU","LECILAU",,"Lecidella laureri ",15,"(Hepp ex Th.Fr.) Körb.",,,,,,"N","U","BC",1137813,"spp",0,1,"LECILAU",9,
"2019pb","Addition, 2018 review. * not in Esslinger.",,,"LECILAZ","LECILAZ","LECILAZ",,"Lecidea latypizodes ",15,"Nyl.",,,,,,"N","U","BC",1137784,"spp",0,1,"LECILAT",7,
"2019pb","Addition, 2018 review",,,"LECILEU","LECILEU","LECILEU",,"Lecidea leucothallina ",15,"Arnold",,,,,,"N","U","BC",1137786,"spp",0,1,"LECILEU",7,
"2019pb","Addition, 2018 review",,,"LECILIT","LECILIT","LECILIT",,"Lecidea lithophila ",15,"(Ach.) Ach.",,,,,,"N","U","BC",1137787,"spp",0,1,"LECILIT",7,
"2019pb","Addition, 2018 review",,,"LECILLAB","LECILLAB","LECILLAB",,"Lecidea laboriosa ",15,"Müll. Arg.",,,,,,"N","U","BC",1137782,"spp",0,1,"LECILAB",7,
,,,"NOTUSED","LECILUR","LECILUR","LECILUR",,"Lecidea lurida",15,"(Ach.) DC.",,,,,,"N","U","BC",22950,"spp",0,1,"LECILUR",7,
,,,"NOTUSED","LECIPET","LECILUR","LECILUR",,"Lecidea petri",11,"(Tuck.) Zahlbr.",,,,,,,"S","BC",22957,"spp",0,0,"LECIPET",7,
"2019pb","Addition, 2018 review",,,"LECIMAN","LECIMAN","LECIMAN",,"Lecidea mannii ",15,"Tuck.",,,,,,"N","U","BC",1137788,"spp",0,1,"LECIMAN",7,
"2019pb","Syn of Lecanora naegelii",,"BASIDIAC","BACINAE","LECINAE","LECINAE",,"Bacidia naegelii",15,"(Hepp) Zahlbr.",,,,"New species=Lecania naegelii",,"N","S","BC",22310,"spp",0,0,"BACINAE",7,
"2019pb","Addition, 2018 review",,,"LECINYL","LECINYL","LECINYL",,"Lecidea nylanderi ",15,"(Anzi) Th.Fr.",,,,,,"N","U","BC",1137789,"spp",0,1,"LECINYL",7,
"2022","Replaced by new upper taxa codes",,"NOTUSED","LECIOPH","LECIOPHY","LECIOPHY",,"Leciophysma spp.",11,,"litterbear lichens","onyx lichens",,,,"N","S","BC",22990,"gen",0,1,"LECIOPHY",11,
"2022","New coding for upper taxa",,"NOTUSED","LECIOPHY","LECIOPHY","LECIOPHY",,"Leciophysma spp.",11,,"litterbear lichens","onyx lichens",,,,"N","U","BC",22990,"gen",0,1,"LECIOPHY",11,
,,,"NOTUSED","LECIALA","LECIPAA","LECIPAA",,"Lecidea alaiensis",15,"Vainio",,,,,,,"S","BC",22923,"spp",0,0,"LECIALA",7,
,,,"NOTUSED","LECIEND","LECIPAA","LECIPAA",,"Lecidea endolithea",15,"Lynge",,,,,,,"S","BC",22936,"spp",0,0,"LECIEND",7,
,,,"NOTUSED","LECIPAA","LECIPAA","LECIPAA",,"Lecidella patavina",15,"(A. Massal.) Knoph & Leuckert",,,,,,"N","U","BC",22980,"spp",0,1,"LECIPAT",9,
"2019pb","Addition, 2018 review",,,"LECIPAD","LECIPAD","LECIPAD",,"Lecidea paddensis ",15,"(Tuck.) Zahlbr.",,,,,,"N","U","BC",1137790,"spp",0,1,"LECIPAD",7,
"2019pb","Addition, 2018 review",,,"LECIPAU","LECIPAU","LECIPAU",,"Lecidea paupercula ",15,"Th.Fr.",,,,,,"N","U","BC",1137791,"spp",0,1,"LECIPAU",7,
"2019pb","Addition, 2018 review",,,"LECIPHA","LECIPHA","LECIPHA",,"Lecidea phaeops ",15,"Nyl.",,,,,,"N","U","BC",1137792,"spp",0,1,"LECIPHA",7,
"2019pb","Addition, 2018 review",,,"LECIPIC","LECIPIC","LECIPIC",,"Lecidea picea ",15,"Lynge",,,,,,"N","U","BC",1137793,"spp",0,1,"LECIPIC",7,
"2019pb","Addition, 2018 review",,,"LECIPLA","LECIPLA","LECIPLA",,"Lecidea plana ",15,"Kremp.",,,,,,"N","U","BC",1137794,"spp",0,1,"LECIPLA",7,
"2019pb","Addition, 2018 review",,,"LECIPLE","LECIPLE","LECIPLE",,"Lecidea plebeja ",15,"Nyl.",,,,,,"N","U","BC",1137795,"spp",0,1,"LECIPLE",7,
"2019pb","Addition, 2018 review",,,"LECIPOL","LECIPOL","LECIPOL",,"Lecidea polycocca ",15,"Sommerf.",,,,,,"N","U","BC",1137796,"spp",0,1,"LECIPOL",7,
"2019pb","Addition, 2018 review",,,"LECIPRO","LECIPRO","LECIPRO",,"Lecidea protabacina ",15,"Nyl.",,,,,,"N","U","BC",1137797,"spp",0,1,"LECIPRO",7,
"2019pb","Addition, 2018 review",,,"LECIREN","LECIREN","LECIREN",,"Lecidea reniformis",15,"Shirley",,,,,,"N","U","BC",1137798,"spp",0,1,"LECIREN",7,
"2019pb","Addition, 2018 review",,,"LECIROS","LECIROS","LECIROS",,"Lecidea roseotincta ",15,"Coppins & Tønsberg",,,,,,"N","U","BC",1137799,"spp",0,1,"LECIROS",7,
"2019pb","Addition, 2018 review",,,"LECIRUR","LECIRUR","LECIRUR",,"Lecidea rubrocastanea ",15,"T.Sprib. & Printzen",,,,,,"N","U","BC",1137800,"spp",0,1,"LECIRUB",7,
"2019pb","Addition, 2018 review",,,"LECISAR","LECISAR","LECISAR",,"Lecidea sarcogynoides ",15,"Körber",,,,,,"N","U","BC",1137801,"spp",0,1,"LECISAR",7,
"2019pb","added, new name for SANTSAX",,"PANNARIA","LECISAX","LECISAX","LECISAX",,"Leciophysma saximontana",11,"(T. Sprib, P.M Jørg & M. Schultz) P.M Jørg, Wedin & S. Ekman","mountain dust bunnies","mountain dust-bunnies lichen",,,,"N","U","BC",1136941,"spp",0,1,"LECISAX",11,
"2019pb","now syn of Lecisax",,"Pannaria","SANTSAX","LECISAX","LECISAX",,"Santessoniella saximontana",11,"T. Sprib, P.M Jørg & M. Schultz","mountain dust bunnies","mountain dust-bunnies lichen",,,,"N","S","BC",1135723,"spp",0,0,"SANTSAX",14,
,,,"NOTUSED","LECIPRS","LECISCB","LECISCB",,"Lecidea prasinula",15,"(Wedd.) de Lesd.",,,,,,,"S","BC",22959,"spp",0,0,"LECIPRA",7,
,,,"NOTUSED","LECISCB","LECISCB","LECISCB",,"Lecidella scabra",15,"(Taylor) Hertel & Leuckert",,,,,,"N","U","BC",22981,"spp",0,1,"LECISCA",9,
"2019pb","Addition, 2018 review",,,"LECISCR","LECISCR","LECISCR",,"Lecidea scabridula ",15,"Hedl. nom. illeg.",,,,,,"N","U","BC",1137802,"spp",0,1,"LECISCA",7,
"2019pb","Addition, 2018 review",,,"LECISIL","LECISIL","LECISIL",,"Lecidea silacea ",15,"(Hoffm.) Ach.",,,,,,"N","U","BC",1137803,"spp",0,1,"LECISIL",7,
,,,"NOTUSED","LECILAC","LECISTI","LECISTI",,"Lecidea lacus-crateris",15,"H. Magn.",,,,,,,"S","BC",22946,"spp",0,0,"LECILAC",7,
,,,"NOTUSED","LECIMIC","LECISTI","LECISTI",,"Lecidea micacea",15,"Körber",,,,,,,"S","BC",22952,"spp",0,0,"LECIMIC",7,
,,,"NOTUSED","LECISTI","LECISTI","LECISTI",,"Lecidella stigmatea",15,"(Ach.) Hertel & Leuckert",,,,,,"N","U","BC",22983,"spp",0,1,"LECISTI",9,
"2019pb","Added as X from Essling",,"NOTUSED","LECISUC","LECISUC","LECISUC",,"Lecidea subcontinuior",15,"de Lesd.",,,,,,,"X","BC",22966,"spp",0,0,"LECISUB",7,
"2019pb","Addition, 2018 review",,,"LECISWA","LECISWA","LECISWA",,"Lecidea swartzoidea ",15,"Nyl.",,,,,,"N","U","BC",1137804,"spp",0,1,"LECISWA",7,
"2019pb","Addition, 2018 review",,,"LECITES","LECITES","LECITES",,"Lecidea tessellata ",15,"Flörke ",,,,,,"N","U","BC",1137805,"spp",0,1,"LECITES",7,
"2019pb","Addition, 2018 review",,,"LECITUR","LECITUR","LECITUR",,"Lecidea turgidula ",15,"Fr.",,,,,,"N","U","BC",1137806,"spp",0,1,"LECITUR",7,
"2019pb","Addition, 2018 review",,,"LECIUMB","LECIUMB","LECIUMB",,"Lecidea umbonata ",15,"(Hepp) Mudd",,,,,,"N","U","BC",1137807,"spp",0,1,"LECIUMB",7,
"2019pb","addition as excluded, needs to be confirmed",,,"LECIVAR","LECIVAR","LECIVAR",,"Lecidea varians ",15,"Ach.",,,,,,"N","X","BC",1137808,"spp",0,0,"LECIVAR",7,
"2019pb","Syn of Lecidea",,"NOTUSED","PYRRVAR","LECIVAR","LECIVAR",,"Pyrrhospora varians",15,"(Ach.) R. C. Harris",,,,,,"N","S","BC",23545,"spp",0,0,"PYRRVAR",11,
,,,"NOTUSED","LECIWUL","LECIWUL","LECIWUL",,"Lecidella wulfenii",15,"(Hepp) Körber",,,,,,"N","U","BC",22985,"spp",0,1,"LECIWUL",9,
"2019pb","Addition, 2018 review",,,"LECLEP","LECLEP","LECLEP",,"Lecidea leprarioides ",15,"Tønsberg ",,,,,,"N","U","BC",1137785,"spp",0,1,"LECILEP",7,
,,"POACEAE","POACEAE","LEERORY","LEERORY","LEERORY",,"Leersia oryzoides",6,"(L.) Swartz","rice cutgrass","rice cutgrass",,,,"N","U","BC",15883,"spp",0,1,"LEERORY",7,
,,"POACEAE","POACEAE","LEERSIA","LEERSIA","LEERSIA",,"Leersia spp.",6,,,"cutgrasses",,,,"N","U","BC",15884,"gen",0,1,"LEERSIA",7,
"2022","Replaced by new upper taxa codes",,"CAMPANL","LEGOUSI","LEGOUSIA","LEGOUSIA",,"Legousia spp.",7,,,,,,,,"S","BC",14126,"gen",0,0,"LEGOUSIA",8,
"2022","New coding for upper taxa",,"CAMPANL","LEGOUSIA","LEGOUSIA","LEGOUSIA",,"Legousia spp.",7,,,,,,,,"U","BC",14126,"gen",0,0,"LEGOUSIA",8,
"2022","Replaced by new upper taxa codes",,"NOTUSED","LEIODER","LEIODERM","LEIODERM",,"Leioderma spp.",11,,"treepelt lichens","elf lichens",,,,"N","S","BC",22992,"gen",0,1,"LEIODERM",9,
"2022","New coding for upper taxa",,"NOTUSED","LEIODERM","LEIODERM","LEIODERM",,"Leioderma spp.",11,,"treepelt lichens","elf lichens",,,,"N","U","BC",22992,"gen",0,1,"LEIODERM",9,
,,,"NOTUSED","LEIOSOR","LEIOSOR","LEIOSOR",,"Leioderma sorediatum",11,"D. Galloway & P. Jørg.","felted elf","felted elf lichen",,,,"N","U","BC",22991,"spp",0,1,"LEIOSOR",9,
,,,"LEJEUNA","LEJEAUT","LEJEAUT","LEJEAUT",,"Lejeunea autoica",10,"Schust.",,,,,,"N","X",,21619,"spp",0,0,"LEJEAUT",8,
,,,"LEJEUNA","LEJEBLO","LEJEBLO","LEJEBLO",,"Lejeunea blomquistii",10,"Schust.",,,,,,"N","X",,21620,"spp",0,0,"LEJEBLO",8,
,,,"LEJEUNA","LEJECAE","LEJECAE","LEJECAE",,"Lejeunea caespitosa",10,"Lindenb.",,,,,,"N","X",,21621,"spp",0,0,"LEJECAE",8,
,,,"LEJEUNA","LEJECAL","LEJECAL","LEJECAL",,"Lejeunea calcicola",10,"Schust.",,,,,,"N","X",,21622,"spp",0,0,"LEJECAL",8,
,,,"LEJEUNA","LEJECAL1","LEJECAL1","LEJECAL",,"Lejeunea calcicola var. calcicola",10,,,,,,,"N","X",,21623,"var",0,0,"LEJECAL",8,
,,,"LEJEUNA","LEJECAL2","LEJECAL2","LEJECAL",,"Lejeunea calcicola var. mexicana",10,"Schust.",,,,,,"N","X",,21624,"var",0,0,"LEJECAL",8,
,,,"LEJEUNA","LEJECAR","LEJECAR","LEJECAR",,"Lejeunea cardoti",10,"Steph.",,,,,,"N","X",,21625,"spp",0,0,"LEJECAR",8,
,,,"LEJEUNA","LEJECAV","LEJECAV","LEJECAV",,"Lejeunea cavifolia",10,"(Ehrh.) Lindb. emend. Buch",,,,,,"N","X",,21626,"spp",0,0,"LEJECAV",8,
,,,"LEJEUNA","LEJECLA","LEJECLA","LEJECLA",,"Lejeunea cladogyna",10,"Evans",,,,,,"N","X",,21627,"spp",0,0,"LEJECLA",8,
,,,"LEJEUNA","LEJEFLA","LEJEFLA","LEJEFLA",,"Lejeunea flava",10,"(Sw.) Nees",,,,,,"N","X",,21628,"spp",0,0,"LEJEFLA",8,
,,,"LEJEUNA","LEJEFLA1","LEJEFLA1","LEJEFLA",,"Lejeunea flava ssp. flava",10,,,,,,,"N","X",,21629,"ssp",0,0,"LEJEFLA",8,
,,,"LEJEUNA","LEJEFLO","LEJEFLO","LEJEFLO",,"Lejeunea floridana",10,"Evans",,,,,,"N","X",,21630,"spp",0,0,"LEJEFLO",8,
,,,"LEJEUNA","LEJEGLA","LEJEGLA","LEJEGLA",,"Lejeunea glaucescens",10,"Gott.",,,,,,"N","X",,21631,"spp",0,0,"LEJEGLA",8,
,,,"LEJEUNA","LEJEGLA1","LEJEGLA1","LEJEGLA",,"Lejeunea glaucescens var. acrogyna",10,"Schust.",,,,,,"N","X",,21632,"var",0,0,"LEJEGLA",8,
,,,"LEJEUNA","LEJEGLA2","LEJEGLA2","LEJEGLA",,"Lejeunea glaucescens var. glaucescens",10,,,,,,,"N","X",,21633,"var",0,0,"LEJEGLA",8,
,,,"LEJEUNA","LEJEGLA3","LEJEGLA3","LEJEGLA",,"Lejeunea glaucescens var. obsoleta",10,"Schust.",,,,,,"N","X",,21634,"var",0,0,"LEJEGLA",8,
,,,"LEJEUNA","LEJELAE","LEJELAE","LEJELAE",,"Lejeunea laetivirens",10,"Nees & Mont.",,,,,,"N","X",,21635,"spp",0,0,"LEJELAE",8,
,,,"LEJEUNA","LEJELAM","LEJELAM","LEJELAM",,"Lejeunea lamacerina",10,"(Steph.) Schiffn.",,,,,,"N","X",,21636,"spp",0,0,"LEJELAM",8,
,,,"LEJEUNA","LEJELAM1","LEJELAM1","LEJELAM",,"Lejeunea lamacerina ssp. gemminata",10,"Schust.",,,,,,"N","X",,21637,"ssp",0,0,"LEJELAM",8,
,,,"LEJEUNA","LEJEMIN","LEJEMIN","LEJEMIN",,"Lejeunea minutiloba",10,"Evans",,,,,,"N","X",,21638,"spp",0,0,"LEJEMIN",8,
,,,"LEJEUNA","LEJEMIN1","LEJEMIN1","LEJEMIN",,"Lejeunea minutiloba var. heterogyna",10,"Schust.",,,,,,"N","X",,21639,"var",0,0,"LEJEMIN",8,
,,,"LEJEUNA","LEJEMIN2","LEJEMIN2","LEJEMIN",,"Lejeunea minutiloba var. minutiloba",10,,,,,,,"N","X",,21640,"var",0,0,"LEJEMIN",8,
,,,"LEJEUNA","LEJEPIL","LEJEPIL","LEJEPIL",,"Lejeunea pililoba",10,"Spruce",,,,,,"N","X",,21641,"spp",0,0,"LEJEPIL",8,
,,,"LEJEUNA","LEJERUT","LEJERUT","LEJERUT",,"Lejeunea ruthii",10,"(Evans) Schust.",,,,,,"N","X",,21642,"spp",0,0,"LEJERUT",8,
,,,"LEJEUNA","LEJESPI","LEJESPI","LEJESPI",,"Lejeunea spiniloba",10,"Lindenb. & Gott.",,,,,,"N","X",,21644,"spp",0,0,"LEJESPI",8,
,,,"LEJEUNA","LEJEULI","LEJEULI","LEJEULI",,"Lejeunea ulicina",10,"(Tayl.) Gott.",,,,,,"N","X",,21645,"spp",0,0,"LEJEULI",8,
,,,"LEJEUNA","LEJEULI1","LEJEULI1","LEJEULI",,"Lejeunea ulicina ssp. bullata",10,"(Tayl.) Schust.",,,,,,"N","X",,21646,"ssp",0,0,"LEJEULI",8,
,,,"LEJEUNA","LEJEULI2","LEJEULI2","LEJEULI",,"Lejeunea ulicina ssp. ulicina",10,"(Tayl.) Schust.",,,,,,"N","X",,21647,"ssp",0,0,"LEJEULI",8,
"2022","New coding for upper taxa",,"LEJEUNA","LEJEUNE_","LEJEUNE_","LEJEUNE_",,"Lejeuneaceae",10,"Cavers",,,,,,"N","U",,21648,"fam",0,0,"LEJEUNE_",12,
"2022","Replaced by new upper taxa codes",,"LEJEUNA","LEJEUNEA","LEJEUNE_","LEJEUNE_",,"Lejeuneaceae",10,"Cavers",,,,,,"N","S",,21648,"fam",0,0,"LEJEUNE_",12,
"2022","Replaced by new upper taxa codes",,"LEJEUNA","LEJEUNE","LEJEUNEA","LEJEUNEA",,"Lejeunea spp.",10,"Lib.",,,,,,"N","S",,21643,"gen",0,0,"LEJEUNEA",8,
"2022","New coding for upper taxa",,"LEJEUNA","LEJEUNEA","LEJEUNEA","LEJEUNEA",,"Lejeunea spp.",10,"Lib.",,,,,,"N","U",,21643,"gen",0,0,"LEJEUNEA",8,
,,"ARACEAE","LEMNACE","LEMNA","LEMNA","LEMNA",,"Lemna spp.",7,,,"duckweeds",,,,"N","U","BC",14128,"gen",0,1,"LEMNA",5,
"2022","New coding for upper taxa",,"LEMNACEA","LEMNACE_","LEMNACE_","LEMNACE_",,"Lemnaceae",0,,,,,,,"N","U","BC",17792,"fam",0,1,"LEMNACE_",9,
"2022","Replaced by new upper taxa codes",,"LEMNACEA","LEMNACEA","LEMNACE_","LEMNACE_",,"Lemnaceae",0,,,,,,,"N","S","BC",17792,"fam",0,1,"LEMNACE_",9,
,,"ARACEAE","LEMNACE","LEMNMIN","LEMNMIN","LEMNMIN",,"Lemna minor",7,"L.","common duckweed","small duckweed",,,,"N","U","BC",14127,"spp",0,1,"LEMNMIN",5,
"2009","new native","ARACEAE","LEMNACE","LEMNMIU","LEMNMIU","LEMNMIU",,"Lemna minuta",7,"Kunth","least duckweed","least duckweed",,,,"N","U","BC",25040,"spp",0,1,"LEMNMIN",5,
,,"ARACEAE","LEMNACE","LEMNTRI","LEMNTRI","LEMNTRI",,"Lemna trisulca",7,"L.","ivy-leaved duckweed","star duckweed",,,,"N","U","BC",14129,"spp",0,1,"LEMNTRI",5,
,,"ARACEAE","LEMNACE","LEMNTUR","LEMNTUR","LEMNTUR",,"Lemna turionifera",7,"Landolt","Turion duckweed","Turion duckweed",,,,"N","U","BC",17791,"spp",0,1,"LEMNTUR",5,
"2019pb","added, but X until specimens confirmed",,"NOTUSED","LEMPCHA","LEMPCHA","LEMPCHA",,"Lempholemma chalazanum",11,"(Ach.) B. de Lesd.",,,,,,"N","X","BC",1136883,"spp",0,0,"LEMPCHA",11,
"2019pb","added, but X until specimens confirmed",,"NOTUSED","LEMPCLA","LEMPCLA","LEMPCLA",,"Lempholemma cladodes",11,"(Tuck.) Zahlbr.",,,,,,"N","X","BC",1136884,"spp",0,0,"LEMPCLA",11,
"2019pb","added, but X until specimens confirmed",,"NOTUSED","LEMPDEG","LEMPDEG","LEMPDEG",,"Lempholemma degelianum",11,"P.M. Jørg",,,,,,"N","X","BC",1136885,"spp",0,0,"LEMPDEG",11,
"2019pb","added, but X until specimens confirmed",,"NOTUSED","LEMPDIS","LEMPDIS","LEMPDIS",,"Lempholemma dispansum",11,"H.Magn.",,,,,,"N","X","BC",1136886,"spp",0,0,"LEMPDIS",11,
"2022","Replaced by new upper taxa codes",,"NOTUSED","LEMPHOL","LEMPHOLE","LEMPHOLE",,"Lempholemma spp.",11,,"tar lichens","charstick lichens",,,,"N","S","BC",22996,"gen",0,1,"LEMPHOLE",11,
"2022","New coding for upper taxa",,"NOTUSED","LEMPHOLE","LEMPHOLE","LEMPHOLE",,"Lempholemma spp.",11,,"tar lichens","charstick lichens",,,,"N","U","BC",22996,"gen",0,1,"LEMPHOLE",11,
"2019pb","synonym of LEMPINT",,"NOTUSED","LEMPFEN","LEMPINT","LEMPINT",,"Lempholemma fennicum",11,"(Räsänen) Degel.","waterside tar","waterside tar lichen",,,,"N","S","BC",24547,"spp",0,0,"LEMPFEN",11,
"2014","Added",,"Lichinac","LEMPINT","LEMPINT","LEMPINT",,"Lempholemma intricatum",11,,"integrate charstick","integrate charstick lichen",,,,"N","U","BC",1135687,"spp",0,1,"LEMPINT",11,
"2019pb","added, but X until specimens confirmed",,"NOTUSED","LEMPISI","LEMPISI","LEMPISI",,"Lempholemma isidioides",11,"(Nyl. ex Arnold) H.Magn.",,,,,,"N","X","BC",1136887,"spp",0,0,"LEMPISI",11,
,,,"NOTUSED","LEMPMYR","LEMPPOL","LEMPPOL",,"Lempholemma myriococcum",11,"(Ach.) Th. Fr.",,,,,,,"S","BC",22993,"spp",0,0,"LEMPMYR",11,
"2019pb","Added, in 2018 review",,"NOTUSED","LEMPPOL","LEMPPOL","LEMPPOL",,"Lempholemma polyanthes",11,"(Bernh.) Malme","mourning phlegm","phlegm charstick lichen",,,,"N","U","BC",22994,"spp",0,1,"LEMPPOL",11,
"2019pb","Added, in 2018 review",,"NOTUSED","LEMPRAD","LEMPRAD","LEMPRAD",,"Lempholemma radiatum",11,"(Sommerf.) Henssen","radiant charstick","radiant charstick lichen",,,,"N","U","BC",22995,"spp",0,1,"LEMPRAD",11,
"2022","New coding for upper taxa",,"LENTIBUL","LENTIBU_","LENTIBU_","LENTIBU_",,"Lentibulariaceae",0,"Richard",,,,,,"N","U","BC",17793,"fam",0,1,"LENTIBU_",16,
"2022","Replaced by new upper taxa codes",,"LENTIBUL","LENTIBUL","LENTIBU_","LENTIBU_",,"Lentibulariaceae",0,"Richard",,,,,,"N","S","BC",17793,"fam",0,1,"LENTIBU_",16,
,,"LAMIACE","LAMIACE","LEONCAR","LEONCAR","LEONCAR",,"Leonurus cardiaca",7,"L.","common motherwort","common motherwort",,,,"E","U","BC",17800,"spp",0,1,"LEONCAR",8,
"2009","new exotic","ASTERAC","ASTERAC","LEONSAX","LEONSAX","LEONSAX",,"Leontodon saxatilis",7,"Lamarck","hairy hawkbit","hairy hawkbit","hairy hawkbit","All agree",,"E","U","BC",25109,"spp",0,1,"LEONSAX",9,
"2009","now synonym","ASTERAC","ASTERAC","LEONLEY","LEONSAX2","LEONSAX",,"Leontodon leysseri",7,"(Wallr.) G. Beck",,,,,,,"S","BC",17795,"spp",0,0,"LEONLEY",9,
"2009","now synonym","ASTERAC","ASTERAC","LEONNUD1","LEONSAX2","LEONSAX",,"Leontodon nudicaulis ssp. taraxacoides",7,"(Vill.) Schinz & Thell.",,,,,,,"S","BC",17796,"ssp",0,0,"LEONNUD",9,
