"YearOfChange","ChangeDescription","APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName_Old","EnglishName","common_name_pb","Notes_on_names","ShortenedGuideName","Native","Codetype","Province","ID","TaxonLevel","IsAttribute","Report","SplCode_calc","Codelength","CombinedEnglishName"
"2022","New coding for upper taxa",,"ACAROSPO","ACAROSP_","ACAROSP_","ACAROSP_",,"Acarosporaceae",15,,"cobblestone lichens","cobblestone lichens",,"cracked lichens is other name",,"N","U","BC",22150,"fam",0,1,"ACAROSP_",14,
"2022","Replaced by new upper taxa codes",,"ACAROSPO","ACAROSPO","ACAROSP_","ACAROSP_",,"Acarosporaceae",15,,"cobblestone lichens","cobblestone lichens",,"cracked lichens is other name",,"N","S","BC",22150,"fam",0,1,"ACAROSP_",14,
"2022","Replaced by new upper taxa codes",,"ACAROSO","ACAROSP","ACAROSPO","ACAROSPO",,"Acarospora spp.",15,"A. Massal.","cobblestone lichens","cobblestone lichens",,"cracked lichens is other name",,"N","S","BC",22144,"gen",0,1,"ACAROSPO",10,
"2022","New coding for upper taxa",,"ACAROSO","ACAROSPO","ACAROSPO","ACAROSPO",,"Acarospora spp.",15,"A. Massal.","cobblestone lichens","cobblestone lichens",,"cracked lichens is other name",,"N","U","BC",22144,"gen",0,1,"ACAROSPO",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARROS","ACARROS","ACARROS",,"Acarospora rosulata",15,"(Th.Fr.) H.Magn.",,"ochre cobblestone lichen",,,,"N","U","BC",1136993,"spp",0,1,"ACARROS",10,
,,,"NOTUSED","ACARALB","ACARSCH","ACARSCH",,"Acarospora albida",15,"H. Magn.",,,,,,,"S","BC",22119,"spp",0,0,"ACARALB",10,
,,,"NOTUSED","ACARAMA","ACARSCH","ACARSCH",,"Acarospora amabilis",15,"H. Magn.",,,,,,,"S","BC",22120,"spp",0,0,"ACARAMA",10,
,,,"NOTUSED","ACARBEL","ACARSCH","ACARSCH",,"Acarospora bella",15,"(Nyl.) Jatta",,,,,,,"S","BC",22123,"spp",0,0,"ACARBEL",10,
,,,"NOTUSED","ACARCHR","ACARSCH","ACARSCH",,"Acarospora chrysops",15,"(Tuck.) H. Magn.",,,,,,,"S","BC",22127,"spp",0,0,"ACARCHR",10,
,,,"NOTUSED","ACARCON","ACARSCH","ACARSCH",,"Acarospora contigua",15,"H. Magn.",,,,,,,"S","BC",22128,"spp",0,0,"ACARCON",10,
,,,"NOTUSED","ACARDII","ACARSCH","ACARSCH",,"Acarospora dissipata",15,"H. Magn.",,,,,,,"S","BC",22129,"spp",0,0,"ACARDIS",10,
,,,"NOTUSED","ACAREPI","ACARSCH","ACARSCH",,"Acarospora epilutescens",15,"Zahlbr.",,,,,,,"S","BC",22130,"spp",0,0,"ACAREPI",10,
,,,"NOTUSED","ACAREVO","ACARSCH","ACARSCH",,"Acarospora evoluta",15,"H. Magn.",,,,,,,"S","BC",22132,"spp",0,0,"ACAREVO",10,
